职位名称,实习时间,每周工作天数,学历要求,薪资,行业,地区,公司名称,公司规模,技能要求
python实习生,3个月,5天/周,学历不限,100-120元/天,大数据,余杭区,胜禾网络,0-20人,"Python, Golang, Java, Django, Flask, MySQL"
Python 实习生,3个月,5天/周,本科,150-250元/天,智能硬件,余杭区,赛脑智能,100-499人,"MySQL, Python, Flask"
python开发实习生,3个月,5天/周,本科,180-200元/天,计算机软件,,虹软科技,500-999人,"Python, Django, MySQL, 架构设计经验"
python实习生,3个月,3天/周,本科,200-250元/天,咨询,西湖区,韧科,0-20人,"Python, PyTorch, TensorFlow, MySQL, 机器学习经验, 爬虫经验"
python实习生,6个月,5天/周,本科,100-180元/天,电子商务,萧山区,杭州点艺信息,0-20人,"机器学习, 图像算法, Python"
python实习生,,,本科,3-8K,互联网,西湖区,浙江莲花紫星智算科技,20-99人,"Python, PyTorch, Elasticsearch, MySQL, 接受实习/在校生投递"
python实习生,5个月,5天/周,本科,80-160元/天,人工智能,余杭区,拟现科技,0-20人,"PyTorch, Django, MySQL, MongoDB, Python, Flask"
python实习生,6个月,3天/周,本科,80-120元/天,互联网,余杭区,金口良策,20-99人,"Nginx, MySQL, Python"
Python实习生,4个月,5天/周,本科,150-180元/天,互联网金融,余杭区,iWudao吾道科技,20-99人,"Python, Django, MySQL, MongoDB, 微服务经验"
python实习生,3个月,5天/周,本科,170-200元/天,其他行业,萧山区,浙江省北大信研院,100-499人,"MySQL, Numpy, Python"
python实习生,6个月,5天/周,本科,200-250元/天,互联网,西湖区,每日互动,500-999人,"Java, Hive, 爬虫经验, MySQL, Hadoop, Python"
python开发实习生,3个月,5天/周,本科,160-220元/天,互联网,上城区,天识科技,20-99人,"Python, Django, 爬虫经验"
python实习生,3个月,5天/周,本科,160-210元/天,互联网,余杭区,实在智能,100-499人,"Python, Numpy, Pandas, Django, MySQL, Redis, 爬虫经验"
Python（实习生）,,,大专,5-7K,电子商务,余杭区,神一仙园,20-99人,"Python, Scrapy, MySQL, 分布式经验, 爬虫经验"
python实习生,3个月,3天/周,本科,160-220元/天,培训/辅导机构,西湖区,思夜静,0-20人,"Python, Django, MySQL, 爬虫经验, 智能题, 扣子"
后端python实习生(A251685),6个月,5天/周,学历不限,200-300元/天,计算机软件,余杭区,心识宇宙,20-99人,"MySQL, MongoDB, Python, Flask"
python实习生兼职,3个月,4天/周,本科,10-100元/天,移动互联网,余杭区,皮休信息,0-20人,"Python, Flask, MySQL, MongoDB, Linux开发/部署经验, 爬虫经验, 机器学习经验"
Python开发实习生（长期可转正；短期勿扰）,6个月,5天/周,本科,170-250元/天,互联网,西湖区,当思,20-99人,"后端, Python"
平台开发实习生（Python方向）,4个月,5天/周,本科,200-250元/天,互联网,滨江区,网易,10000人以上,"Python, Linux开发/部署经验"
Python数据分析兼职,,,本科,1500-3000元/月,互联网,滨江区,上海阿普弗洛网络科技,0-20人,"Pandas, MySQL, Linux开发/部署经验, Numpy, Python"
python开发实习生,6个月,5天/周,本科,200-250元/天,计算机软件,滨江区,日通技研科技有限公司,20-99人,"Python, Django, Flask, MySQL"
Python,6个月,6天/周,学历不限,100-150元/天,通信/网络设备,钱塘区,起点通信,20-99人,"Python, Django, Tornado, MySQL, 爬虫经验, 机器学习经验, 量化交易开发经验"
数据处理与python实习生,5个月,5天/周,本科,180-240元/天,计算机软件,西湖区,元语智能,20-99人,"物理, AI大模型, 数学, 数据处理, Python"
python实习生,6个月,5天/周,本科,200-350元/天,大数据,萧山区,知衣科技,100-499人,"Scrapy, Django, MySQL, Kafka, Redis, Tornado, Oracle, Python, Kubernetes"
26届实习-软件开发C/C++/Python/Java,2个月,5天/周,本科,200-250元/天,计算机软件,滨江区,华为技术有限公司,10000人以上,"C++, C, Java, 接受实习/在校生投递"
python实习生,,,本科,9-14K·14薪,电子商务,上城区,盈宽科技,0-20人,"Python, Java, C++"
Python开发实习生,2个月,5天/周,本科,150-200元/天,计算机软件,拱墅区,上海甄智,100-499人,"Python, Django, MySQL"
python开发实习生,3个月,5天/周,本科,170-190元/天,计算机软件,余杭区,苡桐网络,0-20人,"Python, Django, MySQL, 其他, 爬虫经验"
C/C++  Python 自动化工程师,,,本科,5-8K,互联网,滨江区,星空视界科技有限公司,20-99人,"Java, C++, STL"
Python后端实习岗,6个月,3天/周,本科,200-300元/天,半导体/芯片,,云合智网(上海),100-499人,"Python, Django, Flask, PyTorch, MySQL, Oracle, MongoDB, web"
Python 实习生,6个月,5天/周,硕士,100-200元/天,人工智能,余杭区,杭州归一智能科技,20-99人,"Python, Django, Flask, Nginx, MySQL, Redis, PostgreSQL, 运维开发经验, 机器学习经验, Dify, LangChain, RAG, Prompt"
初级python开发 职位代码SDE01,,,本科,5-10K,电子商务,余杭区,杭州赢云贸易有限公司,0-20人,"Python, Pandas, Numpy, Kubernetes, Kafka, MySQL, Hive, Spark, 分布式经验, 微服务经验, 爬虫经验, 机器学习经验"
python实习生,6个月,3天/周,本科,200-300元/天,基金,余杭区,险峰长青投资咨询,20-99人,Python
python开发工程师实习生,,,本科,3-5K,智能硬件,滨江区,艾达智能科技,0-20人,"人工智能, 机器学习, 深度学习"
python开发实习生,3个月,5天/周,本科,160-300元/天,计算机软件,余杭区,移景科技,0-20人,"Scrapy, MySQL, 机器学习经验, 其他, 量化交易开发经验, Python"
软件开发实习生(python),6个月,5天/周,本科,150-200元/天,互联网,滨江区,云迪,20-99人,"Python, Golang, Flask, Docker, Nginx, PyTorch, Redis, PostgreSQL, Linux开发/部署经验, 微服务经验, 运维开发经验, 机器学习经验"
